transaction_id,product_id,rating
1,1,9.1
2,2,9.6
3,3,7.4
4,4,8.4
5,5,5.3
6,6,4.1
7,7,5.8
8,8,8
9,9,7.2
10,10,5.9
11,11,4.5
12,12,6.8
13,13,7.1
14,14,8.2
15,15,5.7
16,16,4.5
17,17,4.6
18,18,6.9
19,19,8.6
20,20,4.4
21,21,4.8
22,22,5.1
23,23,4.4
24,24,9.9
25,25,6
26,26,8.5
27,27,6.7
28,28,7.7
29,29,9.6
30,30,7.4
31,31,4.8
32,32,4.5
33,33,5.1
34,34,5.1
35,35,7.5
36,36,6.8
37,37,7
38,38,4.7
39,39,7.6
40,40,7.7
41,41,7.9
42,42,6.3
43,43,5.6
44,44,7.6
45,45,7.2
46,46,9.5
47,47,8.4
48,48,4.1
49,49,8.1
50,50,7.9
51,51,9.5
52,52,8.5
53,53,6.5
54,54,6.1
55,55,6.5
56,56,8.2
57,57,5.8
58,58,6.6
59,59,5.4
60,60,9.3
61,61,10
62,62,7
63,63,10
64,64,8.6
65,65,7.6
66,66,5.8
67,67,6.7
68,68,9.9
69,69,6.4
70,70,4.3
71,71,9.6
72,72,5.9
73,73,4
74,74,8.7
75,75,9.4
76,76,5.4
77,77,8.6
78,78,5.7
79,79,6.6
80,80,6
81,81,5.5
82,82,6.4
83,83,6.6
84,84,8.3
85,85,6.6
86,86,4
87,87,9.9
88,88,7.3
89,89,5.7
90,90,6.1
91,91,7.1
92,92,8.2
93,93,5.1
94,94,8.6
95,95,6.6
96,96,7.2
97,97,5.1
98,98,4.1
99,99,9.3
100,100,7.4
101,101,4.1
102,102,7.2
103,103,4.9
104,104,9.9
105,105,8
106,106,7.3
107,107,7.9
108,108,7.4
109,109,4.2
110,110,9.2
111,111,4.6
112,112,7.8
113,113,8.4
114,114,4.3
115,115,9.5
116,116,7.1
117,117,5.3
118,118,5.2
119,119,6
120,120,4.1
121,121,5.2
122,122,6.5
123,123,4.2
124,124,4.6
125,125,7.3
126,126,4.5
127,127,9
128,128,5.9
129,129,8.5
130,130,7.2
131,131,7.5
132,132,8.3
133,133,7.4
134,134,8.8
135,135,5.3
136,136,6.2
137,137,8.8
138,138,9.8
139,139,8.2
140,140,9.2
141,141,5.4
142,142,8.1
143,143,9.1
144,144,8.4
145,145,8
146,146,9.5
147,147,9.2
148,148,5.6
149,149,6.2
150,150,4.9
151,151,4.8
152,152,7.3
153,153,7.4
154,154,9.9
155,155,9.3
156,156,9
157,157,6.1
158,158,9.7
159,159,6
160,160,10
161,161,8.3
162,162,6
163,163,7
164,164,6.5
165,165,5.9
166,166,5.6
167,167,4.8
168,168,8.7
169,169,6.5
170,170,8.5
171,171,5.5
172,172,9.4
173,173,6.3
174,174,9.8
175,175,8.7
176,176,8.8
177,177,9.6
178,178,4.8
179,179,4.4
180,180,9.9
181,181,5.7
182,182,7.7
183,183,8
184,184,5.7
185,185,6.7
186,186,8
187,187,7.5
188,188,7
189,189,9.9
190,190,5.9
191,191,7.2
192,192,4.6
193,193,9.2
194,194,5.7
195,195,9.9
196,196,5
197,197,4.9
198,198,6.1
199,199,8.2
200,200,5.5
201,201,6.8
202,202,6.6
203,203,9.8
204,204,8.7
205,205,5.4
206,206,7.9
207,207,9.7
208,208,7.8
209,209,5.1
210,210,6.5
211,211,5.9
212,212,8.8
213,213,4.9
214,214,4.4
215,215,6.5
216,216,8.3
217,217,8.5
218,218,5.5
219,219,8.7
220,220,7.9
221,221,6.1
222,222,5.4
223,223,9.4
